layer,longitude,lattitude,presence
TRUE,163.0027601,-77.60575566,1
TRUE,163.2148231,-77.60589526,1
TRUE,162.9929801,-77.60610466,1
TRUE,163.1810821,-77.60610466,1
TRUE,163.1833641,-77.60610466,1
TRUE,162.9941211,-77.60627916,1
TRUE,163.1817341,-77.60627916,1
TRUE,163.1189791,-77.60631406,1
TRUE,162.9929801,-77.60638386,1
TRUE,162.9954251,-77.60645366,1
TRUE,163.1227281,-77.60645366,1
TRUE,163.1810821,-77.60645366,1
TRUE,163.1181641,-77.60652346,1
TRUE,162.9955881,-77.60666306,1
TRUE,163.1853201,-77.60666306,1
TRUE,163.0009671,-77.60669796,1
TRUE,162.9936321,-77.60673286,1
TRUE,163.0594841,-77.60673286,1
TRUE,163.0632331,-77.60683756,1
TRUE,163.1832011,-77.60701206,1
TRUE,162.9924911,-77.60704696,1
TRUE,163.2100961,-77.60711676,1
TRUE,163.1977081,-77.60746576,1
TRUE,163.1095251,-77.60757046,1
TRUE,163.1851571,-77.60760536,1
TRUE,163.2534541,-77.60764026,1
TRUE,163.2572031,-77.60784966,1
TRUE,163.1822231,-77.60788456,1
TRUE,162.9965661,-77.60795436,1
TRUE,163.3202841,-77.60802416,1
TRUE,163.1615221,-77.60816376,1
TRUE,162.9988481,-77.60823356,1
TRUE,163.2384581,-77.60830336,1
TRUE,163.2550841,-77.60830336,1
TRUE,163.1667381,-77.60847786,1
TRUE,162.9964031,-77.60854766,1
TRUE,163.1670641,-77.60865236,1
TRUE,163.1595661,-77.60868726,1
TRUE,162.9939581,-77.60875706,1
TRUE,163.1626631,-77.60882686,1
TRUE,162.9965661,-77.60889666,1
TRUE,162.9991741,-77.60893156,1
TRUE,162.9999891,-77.60900136,1
TRUE,163.1908621,-77.60903626,1
TRUE,163.0008041,-77.60907116,1
TRUE,163.1644561,-77.60914096,1
TRUE,163.1859721,-77.60917586,1
TRUE,163.0964851,-77.60921076,1
TRUE,163.2345461,-77.60931546,1
TRUE,163.2008051,-77.60938526,1
TRUE,163.0001521,-77.60942016,1
TRUE,163.0011301,-77.60952486,1
TRUE,163.2347091,-77.60959466,1
TRUE,163.1983601,-77.60966446,1
TRUE,163.0021081,-77.60973426,1
TRUE,163.1995011,-77.60990876,1
TRUE,163.0047161,-77.60994366,1
TRUE,163.2541061,-77.61001346,1
TRUE,162.9996631,-77.61011816,1
TRUE,163.1981971,-77.61011816,1
TRUE,163.2024351,-77.61018796,1
TRUE,163.2014571,-77.61022286,1
TRUE,163.2153121,-77.61036246,1
TRUE,163.0104211,-77.61043226,1
TRUE,163.0043901,-77.61050206,1
TRUE,163.0112361,-77.61053696,1
TRUE,163.2014571,-77.61060676,1
TRUE,163.0061831,-77.61071146,1
TRUE,163.1975451,-77.61074636,1
TRUE,163.0943661,-77.61085106,1
TRUE,163.2296561,-77.61106046,1
TRUE,163.2171051,-77.61113026,1
TRUE,163.0052051,-77.61144436,1
TRUE,163.0153111,-77.61151416,1
TRUE,163.1915141,-77.61158396,1
TRUE,163.1967301,-77.61161886,1
TRUE,163.2881731,-77.61165376,1
TRUE,163.0932251,-77.61175846,1
TRUE,163.1519051,-77.61179336,1
TRUE,163.1916771,-77.61186316,1
TRUE,163.0925731,-77.61189806,1
TRUE,163.1986861,-77.61196786,1
TRUE,163.2055321,-77.61210746,1
TRUE,163.1970561,-77.61214236,1
TRUE,163.2327531,-77.61214236,1
TRUE,163.2083031,-77.61217726,1
TRUE,163.2045541,-77.61221216,1
TRUE,163.1897211,-77.61224706,1
TRUE,163.2066731,-77.61224706,1
TRUE,163.0244391,-77.61235176,1
TRUE,163.0255801,-77.61235176,1
TRUE,163.2335681,-77.61238666,1
TRUE,163.0267211,-77.61242156,1
TRUE,163.1993381,-77.61245646,1
TRUE,163.0167781,-77.61249136,1
TRUE,163.0280251,-77.61249136,1
TRUE,163.0886611,-77.61249136,1
TRUE,163.0221571,-77.61252626,1
TRUE,163.0290031,-77.61252626,1
TRUE,163.2079771,-77.61252626,1
TRUE,163.2012941,-77.61256116,1
TRUE,163.0272101,-77.61263096,1
TRUE,163.1973821,-77.61263096,1
TRUE,163.2055321,-77.61263096,1
TRUE,163.0343821,-77.61266586,1
TRUE,163.1576101,-77.61266586,1
TRUE,163.0286771,-77.61270076,1
TRUE,163.0298181,-77.61273566,1
TRUE,163.0324261,-77.61277056,1
TRUE,163.1672271,-77.61277056,1
TRUE,163.2063471,-77.61277056,1
TRUE,163.0276991,-77.61284036,1
TRUE,163.0309591,-77.61287526,1
TRUE,163.2034131,-77.61291016,1
TRUE,163.0286771,-77.61294506,1
TRUE,163.0260691,-77.61297996,1
TRUE,163.0319371,-77.61301486,1
TRUE,163.0358491,-77.61301486,1
TRUE,163.0371531,-77.61301486,1
TRUE,163.0298181,-77.61304976,1
TRUE,163.0329151,-77.61308466,1
TRUE,163.0381311,-77.61308466,1
TRUE,163.0475851,-77.61308466,1
TRUE,163.0340561,-77.61311956,1
TRUE,163.0392721,-77.61315446,1
TRUE,163.0407391,-77.61315446,1
TRUE,163.0484001,-77.61315446,1
TRUE,163.2034131,-77.61315446,1
TRUE,163.0420431,-77.61322426,1
TRUE,163.2021091,-77.61322426,1
TRUE,163.0311221,-77.61325916,1
TRUE,163.0332411,-77.61325916,1
TRUE,163.0348711,-77.61329406,1
TRUE,163.0358491,-77.61329406,1
TRUE,163.0430211,-77.61329406,1
TRUE,163.2572031,-77.61329406,1
TRUE,163.0319371,-77.61332896,1
TRUE,163.1931441,-77.61332896,1
TRUE,163.0492151,-77.61336386,1
TRUE,163.0340561,-77.61339876,1
TRUE,163.0448141,-77.61339876,1
TRUE,163.0528011,-77.61339876,1
TRUE,163.2047171,-77.61339876,1
TRUE,163.0439991,-77.61350346,1
TRUE,163.0501931,-77.61350346,1
TRUE,163.0363381,-77.61353836,1
TRUE,163.1766811,-77.61353836,1
TRUE,163.0351971,-77.61357326,1
TRUE,163.0392721,-77.61357326,1
TRUE,163.1981971,-77.61357326,1
TRUE,163.0407391,-77.61360816,1
TRUE,163.1789631,-77.61364306,1
TRUE,163.0384571,-77.61367796,1
TRUE,163.0417171,-77.61367796,1
TRUE,163.0371531,-77.61371286,1
TRUE,163.2575291,-77.61371286,1
TRUE,163.0360121,-77.61374776,1
TRUE,163.2043911,-77.61374776,1
TRUE,163.0438361,-77.61378266,1
TRUE,163.0404131,-77.61385246,1
TRUE,163.0558981,-77.61385246,1
TRUE,163.0374791,-77.61388736,1
TRUE,163.2029241,-77.61388736,1
TRUE,163.0394351,-77.61392226,1
TRUE,163.0430211,-77.61395716,1
TRUE,163.0417171,-77.61402696,1
TRUE,163.0382941,-77.61406186,1
TRUE,163.2047171,-77.61406186,1
TRUE,163.0803481,-77.61409676,1
TRUE,163.0814891,-77.61409676,1
TRUE,163.1832011,-77.61413166,1
TRUE,163.2686131,-77.61413166,1
TRUE,163.0787181,-77.61416656,1
TRUE,163.2034131,-77.61416656,1
TRUE,163.0573651,-77.61420146,1
TRUE,163.2004791,-77.61420146,1
TRUE,163.2068361,-77.61420146,1
TRUE,163.0389461,-77.61427126,1
TRUE,163.0583431,-77.61427126,1
TRUE,163.2609521,-77.61427126,1
TRUE,163.0775771,-77.61430616,1
TRUE,163.0405761,-77.61434106,1
TRUE,163.0589951,-77.61441086,1
TRUE,163.2616041,-77.61441086,1
TRUE,163.2024351,-77.61444576,1
TRUE,163.2011311,-77.61448066,1
TRUE,163.2395991,-77.61448066,1
TRUE,163.0764361,-77.61451556,1
TRUE,163.0392721,-77.61455046,1
TRUE,163.0606251,-77.61455046,1
TRUE,163.2625821,-77.61455046,1
TRUE,163.0371531,-77.61458536,1
TRUE,163.0594841,-77.61458536,1
TRUE,163.0717091,-77.61458536,1
TRUE,163.0726871,-77.61462026,1
TRUE,163.2633971,-77.61462026,1
TRUE,163.0651891,-77.61465516,1
TRUE,163.0738281,-77.61465516,1
TRUE,163.1955891,-77.61465516,1
TRUE,163.2006421,-77.61465516,1
TRUE,163.0400871,-77.61469006,1
TRUE,163.0705681,-77.61469006,1
TRUE,163.2400881,-77.61469006,1
TRUE,163.0602991,-77.61472496,1
TRUE,163.0695901,-77.61472496,1
TRUE,163.0614401,-77.61475986,1
TRUE,163.0749691,-77.61475986,1
TRUE,163.0718721,-77.61479476,1
TRUE,163.0731761,-77.61479476,1
TRUE,163.0625811,-77.61482966,1
TRUE,163.2638861,-77.61482966,1
TRUE,163.0405761,-77.61493436,1
TRUE,163.0694271,-77.61493436,1
TRUE,163.0395981,-77.61496926,1
TRUE,163.0707311,-77.61496926,1
TRUE,163.0721981,-77.61500416,1
TRUE,163.0738281,-77.61500416,1
TRUE,163.1967301,-77.61507396,1
TRUE,163.1753771,-77.61510886,1
TRUE,163.0420431,-77.61514376,1
TRUE,163.0695901,-77.61514376,1
TRUE,163.0731761,-77.61514376,1
TRUE,163.3360951,-77.61514376,1
TRUE,163.0392721,-77.61517866,1
TRUE,163.0708941,-77.61517866,1
TRUE,163.0409021,-77.61521356,1
TRUE,163.0718721,-77.61521356,1
TRUE,163.0415541,-77.61535316,1
TRUE,163.0700791,-77.61535316,1
TRUE,163.0728501,-77.61535316,1
TRUE,163.1362571,-77.61535316,1
TRUE,163.0405761,-77.61542296,1
TRUE,163.0717091,-77.61542296,1
TRUE,163.0694271,-77.61549276,1
TRUE,163.1941221,-77.61549276,1
TRUE,163.0417171,-77.61556256,1
TRUE,163.0712201,-77.61559746,1
TRUE,163.1507641,-77.61563236,1
TRUE,163.1849941,-77.61563236,1
TRUE,163.0405761,-77.61570216,1
TRUE,163.1677161,-77.61573706,1
TRUE,163.1910251,-77.61573706,1
TRUE,163.0420431,-77.61577196,1
TRUE,163.0394351,-77.61580686,1
TRUE,163.1820601,-77.61580686,1
TRUE,163.2691021,-77.61580686,1
TRUE,163.0412281,-77.61584176,1
TRUE,163.0402501,-77.61587666,1
TRUE,163.1799411,-77.61591156,1
TRUE,163.2697541,-77.61594646,1
TRUE,163.1673901,-77.61598136,1
TRUE,163.1906991,-77.61598136,1
TRUE,163.1949371,-77.61601626,1
TRUE,163.0420431,-77.61605116,1
TRUE,163.1832011,-77.61605116,1
TRUE,163.0405761,-77.61612096,1
TRUE,163.0860531,-77.61612096,1
TRUE,163.2702431,-77.61615586,1
TRUE,163.2720361,-77.61619076,1
TRUE,163.0426951,-77.61622566,1
TRUE,163.0849121,-77.61622566,1
TRUE,163.1908621,-77.61622566,1
TRUE,163.2710581,-77.61622566,1
TRUE,163.0413911,-77.61626056,1
TRUE,163.0405761,-77.61633036,1
TRUE,163.1942851,-77.61643506,1
TRUE,163.3344651,-77.61643506,1
TRUE,163.1993381,-77.61646996,1
TRUE,163.0829561,-77.61650486,1
TRUE,163.0876831,-77.61653976,1
TRUE,163.0837711,-77.61657466,1
TRUE,163.0635591,-77.61664446,1
TRUE,163.1913511,-77.61671426,1
TRUE,163.0958331,-77.61688876,1
TRUE,163.1424511,-77.61688876,1
TRUE,163.0619291,-77.61692366,1
TRUE,163.1818971,-77.61702836,1
TRUE,163.1828751,-77.61702836,1
TRUE,163.0462811,-77.61713306,1
TRUE,163.1802671,-77.61720286,1
TRUE,163.3339761,-77.61720286,1
TRUE,163.3347911,-77.61727266,1
TRUE,163.0430211,-77.61730756,1
TRUE,163.1323451,-77.61730756,1
TRUE,163.1506011,-77.61730756,1
TRUE,163.0479111,-77.61734246,1
TRUE,163.1582621,-77.61741226,1
TRUE,163.0744801,-77.61744716,1
TRUE,163.0951811,-77.61744716,1
TRUE,163.1017011,-77.61744716,1
TRUE,163.0487261,-77.61748206,1
TRUE,163.2532911,-77.61751696,1
TRUE,163.1308781,-77.61765656,1
TRUE,163.0795331,-77.61772636,1
TRUE,163.0976261,-77.61772636,1
TRUE,163.0989301,-77.61772636,1
TRUE,163.1541871,-77.61783106,1
TRUE,163.3320201,-77.61786596,1
TRUE,163.3310421,-77.61790086,1
TRUE,163.0940401,-77.61793576,1
TRUE,163.3299011,-77.61804046,1
TRUE,163.1282701,-77.61814516,1
TRUE,163.2557361,-77.61824986,1
TRUE,163.0503561,-77.61849416,1
TRUE,163.1365831,-77.61866866,1
TRUE,163.1064281,-77.61884316,1
TRUE,163.1082211,-77.61887806,1
TRUE,163.2821421,-77.61891296,1
TRUE,163.1504381,-77.61898276,1
TRUE,163.2852391,-77.61908746,1
TRUE,163.2567141,-77.61926196,1
TRUE,163.3134381,-77.61936666,1
TRUE,163.0834451,-77.61975056,1
TRUE,163.2839351,-77.61989016,1
TRUE,163.2937151,-77.61989016,1
TRUE,163.2603001,-77.61995996,1
TRUE,163.2614411,-77.61995996,1
TRUE,163.2591591,-77.61999486,1
TRUE,163.0575281,-77.62002976,1
TRUE,163.2624191,-77.62002976,1
TRUE,163.0888241,-77.62006466,1
TRUE,163.1501121,-77.62016936,1
TRUE,163.0712201,-77.62020426,1
TRUE,163.0871941,-77.62023916,1
TRUE,163.1093621,-77.62023916,1
TRUE,163.1113181,-77.62030896,1
TRUE,163.0733391,-77.62034386,1
TRUE,163.1077321,-77.62034386,1
TRUE,163.1134371,-77.62044856,1
TRUE,163.1069171,-77.62051836,1
TRUE,163.1152301,-77.62062306,1
TRUE,163.2640491,-77.62069286,1
TRUE,163.2650271,-77.62090226,1
TRUE,163.2956711,-77.62093716,1
TRUE,163.1144151,-77.62097206,1
TRUE,163.1091991,-77.62111166,1
TRUE,163.1171861,-77.62139086,1
TRUE,163.2940411,-77.62149556,1
TRUE,163.1181641,-77.62160026,1
TRUE,163.1228911,-77.62167006,1
TRUE,163.2875211,-77.62173986,1
TRUE,163.1020271,-77.62184456,1
TRUE,163.2069991,-77.62184456,1
TRUE,163.0697531,-77.62198416,1
TRUE,163.2715471,-77.62205396,1
TRUE,163.1228911,-77.62208886,1
TRUE,163.1160451,-77.62212376,1
TRUE,163.0689381,-77.62226336,1
TRUE,163.1170231,-77.62226336,1
TRUE,163.2757851,-77.62229826,1
TRUE,163.1209351,-77.62236806,1
TRUE,163.2223211,-77.62240296,1
TRUE,163.1194681,-77.62247276,1
TRUE,163.2767631,-77.62247276,1
TRUE,163.0647001,-77.62257746,1
TRUE,163.1202831,-77.62257746,1
TRUE,163.2774151,-77.62271706,1
TRUE,163.1214241,-77.62275196,1
TRUE,163.1281071,-77.62278686,1
TRUE,163.2782301,-77.62282176,1
TRUE,163.3003981,-77.62282176,1
TRUE,163.1155561,-77.62285666,1
TRUE,163.0617661,-77.62289156,1
TRUE,163.1220761,-77.62289156,1
TRUE,163.1126221,-77.62292646,1
TRUE,163.0607881,-77.62299626,1
TRUE,163.1163711,-77.62299626,1
TRUE,163.1096881,-77.62306606,1
TRUE,163.2660051,-77.62306606,1
TRUE,163.1188161,-77.62310096,1
TRUE,163.0581801,-77.62313586,1
TRUE,163.2651901,-77.62313586,1
TRUE,163.1176751,-77.62320566,1
TRUE,163.2666571,-77.62320566,1
TRUE,163.1096881,-77.62331036,1
TRUE,163.0565501,-77.62338016,1
TRUE,163.0547571,-77.62348486,1
TRUE,163.1105031,-77.62348486,1
TRUE,163.1119701,-77.62348486,1
TRUE,163.1856461,-77.62355466,1
TRUE,163.0555721,-77.62358956,1
TRUE,163.0541051,-77.62362446,1
TRUE,163.1872761,-77.62383386,1
TRUE,163.2717101,-77.62383386,1
TRUE,163.2725251,-77.62390366,1
TRUE,163.0536161,-77.62393856,1
TRUE,163.2733401,-77.62397346,1
TRUE,163.0531271,-77.62414796,1
TRUE,163.0542681,-77.62414796,1
TRUE,163.1882541,-77.62414796,1
TRUE,163.2748071,-77.62414796,1
TRUE,163.0526381,-77.62432246,1
TRUE,163.1885801,-77.62432246,1
TRUE,163.2840981,-77.62435736,1
TRUE,163.2751331,-77.62463656,1
TRUE,163.2466081,-77.62474126,1
TRUE,163.2759481,-77.62491576,1
TRUE,163.2774151,-77.62519496,1
TRUE,163.2888251,-77.62519496,1
TRUE,163.0493781,-77.62529966,1
TRUE,163.2037391,-77.62557886,1
TRUE,163.2886621,-77.62561376,1
TRUE,163.2027611,-77.62564866,1
TRUE,163.2827941,-77.62575336,1
TRUE,163.2847501,-77.62575336,1
TRUE,163.2857281,-77.62575336,1
TRUE,163.0488891,-77.62578826,1
TRUE,163.2884991,-77.62582316,1
TRUE,163.2034131,-77.62585806,1
TRUE,163.2871951,-77.62585806,1
TRUE,163.2834461,-77.62589296,1
TRUE,163.2862171,-77.62599766,1
TRUE,163.2880101,-77.62599766,1
TRUE,163.2039021,-77.62603256,1
TRUE,163.2847501,-77.62603256,1
TRUE,163.2865431,-77.62617216,1
TRUE,163.2040651,-77.62624196,1
TRUE,163.2875211,-77.62641646,1
TRUE,163.2863801,-77.62645136,1
TRUE,163.2045541,-77.62652116,1
TRUE,163.2637231,-77.62655606,1
TRUE,163.2881731,-77.62659096,1
TRUE,163.2852391,-77.62662586,1
TRUE,163.2870321,-77.62662586,1
TRUE,163.2052061,-77.62669566,1
TRUE,163.2645381,-77.62673056,1
TRUE,163.2862171,-77.62673056,1
TRUE,163.2063471,-77.62676546,1
TRUE,163.2700801,-77.62676546,1
TRUE,163.2635601,-77.62680036,1
TRUE,163.2883361,-77.62680036,1
TRUE,163.2871951,-77.62687016,1
TRUE,163.2055321,-77.62690506,1
TRUE,163.2850761,-77.62693996,1
TRUE,163.2073251,-77.62700976,1
TRUE,163.2632341,-77.62700976,1
TRUE,163.2818161,-77.62700976,1
TRUE,163.2860541,-77.62700976,1
TRUE,163.2705691,-77.62704466,1
TRUE,163.2876841,-77.62707956,1
TRUE,163.2063471,-77.62714936,1
TRUE,163.2855651,-77.62718426,1
TRUE,163.2635601,-77.62721916,1
TRUE,163.2867061,-77.62725406,1
TRUE,163.2813271,-77.62728896,1
TRUE,163.2857281,-77.62739366,1
TRUE,163.2876841,-77.62739366,1
TRUE,163.2803491,-77.62742856,1
TRUE,163.2868691,-77.62746346,1
TRUE,163.2849131,-77.62753326,1
TRUE,163.2087921,-77.62760306,1
TRUE,163.2857281,-77.62770776,1
TRUE,163.2875211,-77.62770776,1
TRUE,163.2091181,-77.62781246,1
TRUE,163.0244391,-77.62784736,1
TRUE,163.2863801,-77.62784736,1
TRUE,163.2099331,-77.62791716,1
TRUE,163.0426951,-77.62802186,1
TRUE,163.2091181,-77.62812656,1
TRUE,163.2616041,-77.62819636,1
TRUE,163.2097701,-77.62826616,1
TRUE,163.2089551,-77.62833596,1
TRUE,163.2668201,-77.62847556,1
TRUE,163.2094441,-77.62854536,1
TRUE,163.2104221,-77.62854536,1
TRUE,163.0374791,-77.62875476,1
TRUE,163.2099331,-77.62892926,1
TRUE,163.0366641,-77.62906886,1
TRUE,163.2097701,-77.62917356,1
TRUE,163.2105851,-77.62924336,1
TRUE,163.2099331,-77.62945276,1
TRUE,163.2104221,-77.62969706,1
TRUE,163.2594851,-77.62976686,1
TRUE,163.2110741,-77.62983666,1
TRUE,163.2578551,-77.62987156,1
TRUE,163.0303071,-77.62990646,1
TRUE,163.2586701,-77.62994136,1
TRUE,163.2102591,-77.62997626,1
TRUE,163.0293291,-77.63001116,1
